Entity,Year,All ages ,Under-5s ,5-14 years old ,50-69 years old ,15-49 years old ,70+ years old 
World,1990,105.31762732952903,0,0,369.1570385190891,19.302567925642,1287.2017551705915
World,1991,105.30899311987805,0,0,367.3176318346605,19.35463909954961,1276.006857213881
World,1992,105.55106007935468,0,0,366.50422895626565,19.732535042738416,1263.604567224812
World,1993,106.79683183750356,0,0,369.8387603942904,20.347188291629116,1259.8160546811982
World,1994,106.96493967772349,0,0,368.65672226775524,20.83520853047626,1244.193817677397
World,1995,106.46773320330198,0,0,362.8461194430841,21.003343265727757,1229.3241359269757
World,1996,105.2244826399312,0,0,353.66019021267164,20.763622500820926,1207.8509592895823
World,1997,104.28861013537065,0,0,343.88108035800025,20.41469700827718,1190.4546282787812
World,1998,103.53522908009727,0,0,333.65018160639784,20.022859955328023,1179.4958375385902
World,1999,103.08047543775191,0,0,324.80700539579533,20.049214858938193,1162.135517739358
World,2000,102.62938512487561,0,0,318.1390979034842,19.92505599164981,1143.451954780206
World,2001,101.81751190962052,0,0,309.99296005088445,19.181531305706393,1125.647562594272
World,2002,101.48714000572467,0,0,303.8216011861309,18.58863898402049,1112.960639206735
World,2003,101.06875668817091,0,0,297.14410693477515,17.90499316866915,1101.1417536730394
World,2004,99.03101036609107,0,0,285.8185153280614,17.36861192663633,1066.3292163958158
World,2005,97.87652153753297,0,0,277.3839377855886,17.08992517867123,1039.54913628574
World,2006,95.42242439354905,0,0,265.32605941425044,16.332581706947092,1002.8453922945098
World,2007,94.30849334937781,0,0,257.92264698691207,15.881454464961609,978.9500882949206
World,2008,94.0371891206314,0,0,252.73190889636646,15.657017604635582,965.6988559056098
World,2009,93.51409298242127,0,0,246.69715190529908,15.2663929861781,953.624317502765
World,2010,93.41085146722399,0,0,242.86453967194802,14.968950364435134,942.248392727555
World,2011,92.92182257091542,0,0,238.99991464427572,14.56878957941642,924.9803628421591
World,2012,92.43870707230046,0,0,236.29641945491676,14.248546133842748,904.3859174241355
World,2013,91.44403183508372,0,0,232.79180083966045,13.876036663204394,877.0939827690462
World,2014,91.59655011479234,0,0,232.03311457231655,13.518984438685253,862.4536485562782
World,2015,92.86560165279009,0,0,233.63837731227352,13.272183993304367,859.8134151762787
World,2016,93.27828267849121,0,0,231.44576222741466,12.969212973225181,852.8618858286214
World,2017,92.91463751435508,0,0,224.56063992506375,12.678353340520694,841.8152130924141
